Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__c,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
8616096-0,800Do000000xBoFIAU,Auto,"Double R Drywall, Inc.",7033602,2023-02-01,2025-01-31,006Do000003R3RxIAK,"2023-Double R Drywall, Inc-BB Renewal",Closed Won
8616637-0,800Do000000xBoGIAU,Manual,Budco Builders LLC,7033603,2021-06-01,2023-05-31,0063i00000JpUloAAF,2023-Budco Builders LLC- BB Renewal,Solution/Value
8616915-0,800Do000000xBoHIAU,Manual,Stone Edge Landscaping,7033604,2022-02-01,2023-01-31,,,
8617059-0,800Do000000xBoIIAU,Manual,"Restoration Builders, Inc.",7033605,2021-02-01,2023-01-31,,,
8617293-0,800Do000000xBoJIAU,Manual,CF Estimates & Consulting,7033606,2021-02-01,2023-01-31,,,
8617320-0,800Do000000xBoKIAU,Manual,"Narvaez Painting, Inc.",7033607,2021-02-01,2023-01-31,0063i00000JpVj8AAF,"2023-Narvaez Painting, Inc.- BB Renewal",Solution/Value
8617374-0,800Do000000xBoLIAU,Manual,Mackenzie Construction Services,7033608,2021-05-01,2023-04-30,,,
8617802-0,800Do000000xBoMIAU,Manual,"Saiber, Inc.",7033609,2021-03-01,2023-02-28,0063i00000JpVZaAAN,"2023-Saiber, Inc.- BB Renewal",Closed Won
8617825-0,800Do000000xBoNIAU,Manual,MCMS,7033610,2021-02-01,2023-01-31,,,
8617851-0,800Do000000xBoOIAU,Manual,J & C Painting And Pressure Cleaning,7033611,2022-06-01,2024-05-31,006Do000002QXMQIA4,2024 - J & C Painting And Pressure Cleaning - Renewal,Discovery
8618068-0,800Do000000xBoPIAU,Manual,A-AUTOMATIC GATE & REPAIR,7033612,2022-06-01,2023-05-31,006Do000002QXNYIA4,2023 - A-AUTOMATIC GATE & REPAIR - Renewal,Discovery
8618341-0,800Do000000xBoQIAU,Manual,MD HVAC Wholesalers,7033613,2021-05-01,2023-04-30,0063i00000JpVkmAAF,2023-MD HVAC Wholesalers- BB Renewal,Solution/Value
8618359-0,800Do000000xBoRIAU,Manual,A1 Mechanical of Dayton,7033614,2021-02-01,2023-01-31,0063i00000JpVb4AAF,2023-A1 Mechanical of Dayton- BB Renewal,Closed Lost
8618501-0,800Do000000xBoSIAU,Manual,JDV Contracting,7033615,2021-02-01,2023-01-31,0063i00000JpVnPAAV,2023-JDV Contracting- BB Renewal,Closed Won
8618505-0,800Do000000xBoTIAU,Manual,Precision Crane & Screeding,7033616,2021-03-01,2023-02-28,0063i00000JpUtGAAV,2023-Precision Crane & Screeding- BB Renewal,Closed Lost
8618799-0,800Do000000xBoUIAU,Manual,Future Electric & Solar,7033617,2021-09-01,2023-08-31,006Do000002QX8sIAG,2023 - Future Electric & Solar - Renewal,Discovery
8618871-0,800Do000000xBoVIAU,Auto,VALOT GENERAL CONTRACTORS,7033618,2022-11-01,2023-10-31,006Do000002QWV0IAO,2023 - VALOT GENERAL CONTRACTORS - Renewal,Discovery
8618989-0,800Do000000xBoWIAU,Manual,DA Architectural Stone LLC,7033619,2021-02-01,2023-01-31,,,
8618992-0,800Do000000xBoXIAU,Manual,"Guardian Mechanical Service, Inc.",7033620,2021-03-01,2023-02-28,0063i00000JpW4GAAV,"2023-Guardian Mechanical Service, Inc.- BB Renewal",Closed Lost
8619034-0,800Do000000xBoYIAU,Manual,Filigran Construction Inc.,7033621,2021-02-01,2023-01-31,,,
8619141-0,800Do000000xBoZIAU,Manual,Ambassador Corporate Renovations,7033622,2021-06-01,2023-05-31,0063i00000JpVIoAAN,2023-Ambassador Corporate Renovations- BB Renewal,Solution/Value
8619153-0,800Do000000xBoaIAE,Manual,"Galaxy Flooring, Inc.",7033623,2021-02-01,2023-01-31,,,
8619232-0,800Do000000xBobIAE,Manual,Badger Daylighting,7033624,2021-03-01,2023-02-28,006Do000002QQRRIA4,2023-Badger Daylighting - BB Renewal,Closed Lost
8619326-0,800Do000000xBocIAE,Manual,K & J Contracting LLC.,7033625,2021-11-01,2023-10-31,006Do000002QX1nIAG,2023 - K & J Contracting LLC. - Renewal,Discovery
8619506-0,800Do000000xBodIAE,Manual,Pride Roofing & Construction LLC,7033626,2021-03-01,2023-02-28,0063i00000JpVlMAAV,2023-Pride Roofing & Construction LLC- BB Renewal,Closed Lost
8619673-0,800Do000000xBoeIAE,Manual,LVI Engineering,7033627,2021-02-01,2023-01-31,,,
8620939-0,800Do000000xBofIAE,Manual,SunPro Construction & Remodeling LLC,7033628,2021-03-01,2023-02-28,0063i00000JpVnYAAV,2023-SunPro Construction & Remodeling LLC- BB Renewal,Closed Lost
8620941-0,800Do000000xBogIAE,Manual,GT Quality Drywall,7033629,2021-03-01,2023-02-28,006Do000002QXMaIAO,2023 - GT Quality Drywall - Renewal,Closed Won
8620942-0,800Do000000xBohIAE,Manual,Low Voltage Cabling Contractors,7033630,2022-09-01,2023-08-31,006Do000002QWXoIAO,2023 - Low Voltage Cabling Contractors - Renewal,Discovery
8620999-0,800Do000000xBoiIAE,Manual,BP Dirt Works,7033631,2021-09-01,2023-08-31,006Do000002QX6XIAW,2023 - BP Dirt Works - Renewal,Discovery
8621338-0,800Do000000xBojIAE,Manual,"Coolrite Refrigeration, Inc.",7033632,2021-03-01,2023-02-28,0063i00000JpVg3AAF,"2023-Coolrite Refrigeration, Inc.- BB Renewal",Closed Won
8621352-0,800Do000000xBokIAE,Manual,DEMOWORK,7033633,2021-07-01,2023-06-30,0063i00000JpV4qAAF,2023-DEMOWORK- BB Renewal,Solution/Value
8621726-0,800Do000000xBolIAE,Manual,CertaPro Painters of Middletown-Kingston,7033634,2022-03-01,2024-02-29,006Do000002QXI0IAO,2024 - CertaPro Painters of Middletown-Kingston - Renewal,Discovery
8622017-0,800Do000000xBomIAE,Manual,M A Contractors,7033635,2021-10-01,2023-09-30,006Do000002QXPxIAO,2023 - M A Contractors - Renewal,Discovery
8622848-0,800Do000000xBonIAE,Manual,Tigre Firestop & Insulation,7033636,2021-10-01,2023-09-30,006Do000002QWixIAG,2023 - Tigre Firestop & Insulation - Renewal,Discovery
8622932-0,800Do000000xBooIAE,Manual,Architectural Expressions LLC,7033637,2021-12-01,2023-11-30,006Do000002QX9HIAW,2023 - Architectural Expressions LLC - Renewal,Discovery
8623758-0,800Do000000xBopIAE,Manual,EDT Electric LLC,7033638,2021-04-01,2023-03-31,0063i00000JpVhlAAF,2023-EDT Electric LLC- BB Renewal,Closed Lost
8623867-0,800Do000000xBoqIAE,Manual,Metleg Plumbing & Design,7033639,2021-04-01,2023-03-31,0063i00000JpVbMAAV,2023-Metleg Plumbing & Design- BB Renewal,Verbal Acceptance
8624387-1,800Do000000xBorIAE,Manual,Landmark Fence,7033640,2021-03-01,2023-02-28,0063i00000JpVhBAAV,2023-Landmark Fence- BB Renewal,Closed Lost
8624445-1,800Do000000xBosIAE,Manual,Queens Waterproofing and Restoration,7033641,2021-08-01,2023-07-31,006Do000002QXQ2IAO,2023 - Queens Waterproofing and Restoration - Renewal,Discovery
8624959-0,800Do000000xBotIAE,Manual,"AA Electric, LLC",7033642,2021-03-01,2023-02-28,0063i00000JpVlNAAV,"2023-AA Electric, LLC- BB Renewal",Closed Lost
8625090-0,800Do000000xBouIAE,Manual,Green Hands Cleaning Services Corp.,7033643,2021-03-01,2023-02-28,0063i00000JpVFiAAN,2023-Green Hands Cleaning Services Corp.- BB Renewal,Closed Lost
8625109-0,800Do000000xBovIAE,Manual,Koala Insulation of Fort Lauderdale,7033644,2022-02-01,2023-01-31,,,
8625281-0,800Do000000xBowIAE,Manual,Vezina Industries,7033645,2021-11-01,2023-10-31,006Do000002QX9ZIAW,2023 - Vezina Industries - Renewal,Discovery
8625390-0,800Do000000xBoxIAE,Manual,"Peterson Grading & Paving, Inc.",7033646,2021-03-01,2023-02-28,0063i00000JpV5NAAV,"2023-Peterson Grading & Paving, Inc.- BB Renewal",Closed Won
8625428-0,800Do000000xBoyIAE,Manual,Data Voice Options LLC,7033647,2021-04-01,2023-03-31,0063i00000JpVUTAA3,2023-Data Voice Options LLC- BB Renewal,Proposal
8625432-0,800Do000000xBozIAE,Manual,QNS Green Inc.,7033648,2021-03-01,2023-02-28,,,
8625582-1,800Do000000xBp0IAE,Manual,Innovative Construction LLC,7033649,2021-05-01,2023-04-30,0063i00000JpW4eAAF,2023-Innovative Construction LLC- BB Renewal,Solution/Value
8625628-0,800Do000000xBp1IAE,Manual,Stone Edge Countertops Commercial Group,7033650,2022-06-01,2023-05-31,0063i00000JpUYPAA3,2023-Stone Edge Countertops Commercial Group- BB Renewal,Solution/Value
8625749-0,800Do000000xBp2IAE,Manual,JS Dirt & Gravel LLC,7033651,2022-08-01,2024-07-31,006Do000002QXJqIAO,2024 - JS Dirt & Gravel LLC - Renewal,Discovery
8626117-0,800Do000000xBp3IAE,Manual,Tailored Construction & Design LLC,7033652,2021-10-01,2023-09-30,006Do000002QXQbIAO,2023 - Tailored Construction & Design LLC - Renewal,Discovery
8626174-0,800Do000000xBp4IAE,Manual,Freedom Painting & Wallcoverings,7033653,2021-04-01,2023-03-31,0063i00000JpUuMAAV,2023-Freedom Painting & Wallcoverings- BB Renewal,Closed Lost
8626177-0,800Do000000xBp5IAE,Manual,Southpoint Kitchen & Bath,7033654,2021-06-01,2023-05-31,0063i00000JpVc2AAF,2023-Southpoint Kitchen & Bath- BB Renewal,Solution/Value
8626283-0,800Do000000xBp6IAE,Manual,Conservpros,7033655,2022-07-01,2023-06-30,0063i00000JpUghAAF,2023-Conservpros- BB Renewal,Solution/Value
8626286-0,800Do000000xBp7IAE,Manual,C. Ransome Asphalt,7033656,2022-03-01,2023-02-28,,,
8627396-0,800Do000000xBp8IAE,Manual,Advanced Acoustical,7033657,2021-04-01,2023-03-31,0063i00000JpVN7AAN,2023-Advanced Acoustical- BB Renewal,Closed Lost
8627692-0,800Do000000xBp9IAE,Manual,Southgate Gutters,7033658,2021-04-01,2023-03-31,0063i00000JpUxbAAF,2023-Southgate Gutters- BB Renewal,Closed Lost
8628029-0,800Do000000xBpAIAU,Manual,Rocha's Quality Cabinets and Millwork,7033659,2021-04-01,2023-03-31,0063i00000JpViyAAF,2023-Rocha's Quality Cabinets and Millwork- BB Renewal,Solution/Value
8628216-0,800Do000000xBpBIAU,Manual,Olympic Foundation Repair,7033660,2022-06-01,2023-05-31,0063i00000JpUSCAA3,2023-Olympic Foundation Repair- BB Renewal,Solution/Value
8628224-1,800Do000000xBpCIAU,Manual,G & G Design Concepts LLC,7033661,2021-04-01,2023-03-31,0063i00000JpVOOAA3,2023-G & G Design Concepts LLC- BB Renewal,Closed Won
8628243-0,800Do000000xBpDIAU,Manual,Beacon Construction Management,7033662,2021-05-01,2023-04-30,0063i00000JpUvxAAF,2023-Beacon Construction Management- BB Renewal,Contract Signed
8628392-0,800Do000000xBpEIAU,Manual,IPRO Painting,7033663,2021-10-01,2023-09-30,006Do000002QXPoIAO,2023 - IPRO Painting - Renewal,Discovery
8628685-0,800Do000000xBpFIAU,Manual,Green Light Electric LLC,7033664,2021-05-01,2023-04-30,0063i00000JpVAyAAN,2023-Green Light Electric LLC- BB Renewal,Solution/Value
8628800-0,800Do000000xBpGIAU,Manual,Farro Innovative Solutions Corp.,7033665,2021-04-01,2023-03-31,0063i00000JpVYkAAN,2023-Farro Innovative Solutions Corp.- BB Renewal,Solution/Value
8628929-0,800Do000000xBpHIAU,Manual,Sids Electric,7033666,2022-04-01,2023-03-31,0063i00000JpUSLAA3,2023-Sids Electric- BB Renewal,Closed Won
8628956-0,800Do000000xBpIIAU,Manual,Reliable Heating & Cooling,7033667,2021-04-01,2023-03-31,0063i00000JpVUFAA3,2023-Reliable Heating & Cooling- BB Renewal,Proposal
8629427-0,800Do000000xBpJIAU,Manual,B & P Construction,7033668,2021-04-01,2023-03-31,0063i00000JpV7vAAF,2023-B & P Construction- BB Renewal,Closed Lost
863042-0,800Do000000xBpKIAU,Manual,Vertical Transport Inc.,7033669,2021-04-01,2023-03-31,0063i00000JpV5dAAF,2023-Vertical Transport Inc. - BB Renewal,Closed Won
8631188-0,800Do000000xBpLIAU,Manual,Twin Cities Tile LLC,7033670,2021-05-01,2023-04-30,0063i00000JpW4TAAV,2023-Twin Cities Tile LLC- BB Renewal,Solution/Value
8631680-0,800Do000000xBpMIAU,Manual,Cooper Land Surveying,7033671,2021-11-01,2023-10-31,006Do000002QXReIAO,2023 - Cooper Land Surveying - Renewal,Discovery
8632145-0,800Do000000xBpNIAU,Manual,Distinctive Integrations LLC,7033672,2021-05-01,2023-04-30,0063i00000JpUoJAAV,2023-Distinctive Integrations LLC- BB Renewal,Contract Signed
8632512-0,800Do000000xBpOIAU,Manual,M.O.D.A Painters LLC,7033673,2021-06-01,2023-05-31,0063i00000JpVTwAAN,2023-M.O.D.A Painters LLC- BB Renewal,Solution/Value
8632566-0,800Do000000xBpPIAU,Manual,Nu-Ca Electric Inc.,7033674,2021-05-01,2023-04-30,0063i00000JpVjAAAV,2023-Nu-Ca Electric Inc.- BB Renewal,Proposal
8632829-0,800Do000000xBpQIAU,Manual,Harris and Harris Trucking,7033675,2021-12-01,2023-11-30,006Do000002QXRjIAO,2023 - Harris and Harris Trucking - Renewal,Discovery
8633180-0,800Do000000xBpRIAU,Manual,Blueprint Painting LLC,7033676,2021-05-01,2023-04-30,0063i00000JpUqOAAV,2023-Blueprint Painting LLC- BB Renewal,Solution/Value
8633433-0,800Do000000xBpSIAU,Manual,Koala Insulation of Northern Westchester,7033677,2021-05-01,2023-04-30,0063i00000JpVYeAAN,2023-Koala Insulation of Northern Westchester- BB Renewal,Closed Lost
8633790-0,800Do000000xBpTIAU,Manual,Standard Site Rentals,7033678,2021-09-01,2023-08-31,,,
8633803-0,800Do000000xBpUIAU,Manual,RC Communications,7033679,2022-03-01,2023-02-28,,,
8635089-0,800Do000000xBpVIAU,Manual,TMilburn Construction,7033680,2021-08-01,2023-07-31,,,
8635485-0,800Do000000xBpWIAU,Manual,MultiFacet Management LLC,7033681,2021-09-01,2023-08-31,,,
8635657-0,800Do000000xBpXIAU,Manual,Buildco Corp.,7033682,2021-05-01,2023-04-30,0063i00000JpVNxAAN,2023-Buildco Corp.- BB Renewal,Solution/Value
8635686-1,800Do000000xBpYIAU,Manual,Scan Tech Services Inc.,7033683,2022-03-01,2023-02-28,0063i00000JpUa2AAF,2023-Scan Tech Services Inc.- BB Renewal,Closed Won
8635696-0,800Do000000xBpZIAU,Manual,K & J Cleaning,7033684,2022-05-01,2023-04-30,0063i00000JpUizAAF,2023-K & J Cleaning- BB Renewal,Solution/Value
8635900-0,800Do000000xBpaIAE,Manual,K Contracting LLC,7033685,2021-06-01,2023-05-31,0063i00000JpVM5AAN,2023-K Contracting LLC- BB Renewal,Proposal
8635901-0,800Do000000xBpbIAE,Manual,Floorco Flooring,7033686,2021-05-01,2023-04-30,0063i00000JpUleAAF,2023-Floorco Flooring- BB Renewal,Solution/Value
8635967-0,800Do000000xBpcIAE,Manual,UCBM CS,7033687,2022-03-01,2024-02-29,,,
8636779-0,800Do000000xBpdIAE,Manual,B&R Concrete and Masonry,7033688,2021-12-01,2023-11-30,,,
8636820-0,800Do000000xBpeIAE,Manual,Valued Electric LLC,7033689,2022-03-01,2023-02-28,0063i00000JpUalAAF,2023-Valued Electric LLC- BB Renewal,Closed Won
8636855-0,800Do000000xBpfIAE,Manual,T S N Solutions LLC,7033690,2021-05-01,2023-04-30,0063i00000JpVehAAF,2023-T S N Solutions LLC- BB Renewal,Proposal
8637177-0,800Do000000xBpgIAE,Manual,M and C Electrical Solutions,7033691,2022-08-01,2023-07-31,,,
8637227-0,800Do000000xBphIAE,Manual,Ultra Fire Operations,7033692,2021-06-01,2023-05-31,0063i00000JpUsLAAV,2023-Ultra Fire Operations- BB Renewal,Solution/Value
8637325-0,800Do000000xBpiIAE,Manual,West Coast Painting & Decorating,7033693,2021-09-01,2023-08-31,,,
8637555-0,800Do000000xBpjIAE,Manual,3D Floorscapes LLC,7033694,2022-04-01,2023-03-31,0063i00000JpUWEAA3,2023-3D Floorscapes LLC- BB Renewal,Proposal
8637847-0,800Do000000xBpkIAE,Manual,Jones Family Construction,7033695,2021-11-01,2023-10-31,,,
8638089-0,800Do000000xBplIAE,Manual,Malloy Electric & Fire,7033696,2021-09-01,2023-08-31,,,
8638364-0,800Do000000xBpmIAE,Manual,Home Squad,7033697,2021-12-01,2023-11-30,,,
8638700-0,800Do000000xBpnIAE,Manual,Sitework Services,7033698,2021-05-01,2023-04-30,0063i00000JpW4fAAF,2023-Sitework Services- BB Renewal,Solution/Value
8640013-0,800Do000000xBpoIAE,Manual,Custom Finish Wood Flooring,7033699,2021-06-01,2023-05-31,0063i00000JpVQAAA3,2023-Custom Finish Wood Flooring- BB Renewal,Solution/Value
8640272-0,800Do000000xBppIAE,Manual,Atlas Comfort Air,7033700,2021-06-01,2023-05-31,0063i00000JpVhLAAV,2023-Atlas Comfort Air- BB Renewal,Solution/Value
8640491-0,800Do000000xBpqIAE,Manual,Mirtil Electric LLC,7033701,2021-07-01,2023-06-30,0063i00000JpVBuAAN,2023-Mirtil Electric LLC- BB Renewal,Solution/Value
8640633-0,800Do000000xBprIAE,Manual,Neighbors Lawn Care,7033702,2021-08-01,2023-07-31,,,
8640660-0,800Do000000xBpsIAE,Manual,Omar Tile and Marble,7033703,2021-06-01,2023-05-31,0063i00000JpUzkAAF,2023-Omar Tile and Marble- BB Renewal,Solution/Value
8640837-0,800Do000000xBptIAE,Manual,BLUE VALLEY CABINETS,7033704,2021-06-01,2023-05-31,0063i00000JpXkvAAF,2023 - Blue Valley Cabinets - Dodge Renewal,Solution/Value
8640850-0,800Do000000xBpuIAE,Manual,The Spacia Group,7033705,2022-10-01,2023-09-30,,,
8641367-0,800Do000000xBpvIAE,Auto,CFA Cabinetry,7033706,2023-01-01,2024-12-31,,,
8644038-0,800Do000000xBpwIAE,Manual,Flatline Roofing,7033707,2021-06-01,2023-05-31,0063i00000JpVejAAF,2023-Flatline Roofing- BB Renewal,Solution/Value
864430-0,800Do000000xBpxIAE,Auto,MKA Framing & Construction Inc.,7033708,2022-11-01,2024-10-31,,,
864523-0,800Do000000xBpyIAE,Manual,P A C Pest Management Specialist,7033709,2022-06-01,2024-05-31,,,
864761-0,800Do000000xBpzIAE,Manual,"Ron's Concrete Construction, Inc.",7033710,2022-01-01,2023-12-31,006Do000002QXUEIA4,"2024 - Ron's Concrete Construction, Inc. - Renewal",Discovery
8652724-0,800Do000000xBq0IAE,Manual,Legacy Builders Ohio LLC,7033711,2021-06-01,2023-05-31,0063i00000JpUttAAF,2023-Legacy Builders Ohio LLC- BB Renewal,Proposal
8652725-0,800Do000000xBq1IAE,Manual,JMH Construction & Building,7033712,2021-06-01,2023-05-31,0063i00000JpVB6AAN,2023-JMH Construction & Building LLC- BB Renewal,Solution/Value
8654444-0,800Do000000xBq2IAE,Manual,Glez Masonry,7033713,2022-03-01,2024-02-29,006Do000002QXUJIA4,2024 - Glez Masonry - Renewal,Discovery
8654447-0,800Do000000xBq3IAE,Manual,"Fox Contracting, Inc.",7033714,2021-12-01,2023-11-30,006Do000002QXHpIAO,"2023 - Fox Contracting, Inc. - Renewal",Discovery
8656124-0,800Do000000xBq4IAE,Manual,Savy Commercial Construction LLC,7033715,2021-06-01,2023-05-31,0063i00000JpW4VAAV,2023-Savy Commercial Construction LLC- BB Renewal,Solution/Value
8656244-0,800Do000000xBq5IAE,Auto,"FDS Enterprises & Construction, LLC",7033716,2022-11-01,2023-10-31,006Do000002QXUOIA4,"2023 - FDS Enterprises & Construction, LLC - Renewal",Discovery
8656295-0,800Do000000xBq6IAE,Manual,"Jet Industries, Inc.",7033717,2022-03-01,2024-02-29,0063i00000JpXogAAF,2023 - Jet Industries - Dodge Renewal,Contract Acceptance
8658627-0,800Do000000xBq7IAE,Manual,360 Concrete Construction Co.,7033718,2021-12-01,2023-11-30,006Do000002QX5cIAG,2023 - 360 Concrete Construction Co. - Renewal,Discovery
8660994-1,800Do000000xBq8IAE,Manual,Norco Construction,7033719,2021-06-01,2023-05-31,0063i00000JpVNaAAN,2023-Norco Construction- BB Renewal,Solution/Value
8661967-0,800Do000000xBq9IAE,Manual,G&C Drywall,7033720,2021-06-01,2023-05-31,0063i00000JpV8ZAAV,2023-G&C Drywall- BB Renewal,Solution/Value
8662870-0,800Do000000xBqAIAU,Manual,Champion Chem-Dry,7033721,2021-07-01,2023-06-30,0063i00000JpVnIAAV,2023-Champion Chem-Dry- BB Renewal,Solution/Value
8662877-0,800Do000000xBqBIAU,Manual,DHG Epoxy Flooring & Custom Coatings,7033722,2021-06-01,2023-05-31,0063i00000JpUx8AAF,2023-DHG Epoxy Flooring & Custom Coatings- BB Renewal,Solution/Value
8665735-0,800Do000000xBqCIAU,Manual,DRL Inspection Services,7033723,2021-06-01,2023-05-31,0063i00000JpUltAAF,2023-DRL Inspection Services- BB Renewal,Solution/Value
8667241-0,800Do000000xBqDIAU,Manual,KO Pro Plumbing and HVAC-R,7033724,2021-06-01,2023-05-31,0063i00000JpVdbAAF,2023-KO Pro Plumbing and HVAC-R- BB Renewal,Solution/Value
8669743-0,800Do000000xBqEIAU,Manual,Boller Logistics LLC,7033725,2022-01-01,2023-12-31,006Do000002QXAyIAO,2024 - Boller Logistics LLC - Renewal,Discovery
8670843-0,800Do000000xBqFIAU,Manual,Buckwater LLC,7033726,2021-06-01,2023-05-31,0063i00000JpVRiAAN,2023-Buckwater LLC- BB Renewal,Solution/Value
8675782-0,800Do000000xBqHIAU,Manual,Insul-Fire,7033728,2021-11-01,2023-10-31,006Do000002QXJaIAO,2023 - Insul-Fire - Renewal,Discovery
8677122-0,800Do000000xBqIIAU,Manual,HVJ Constructions LLC,7033729,2021-06-01,2023-05-31,0063i00000JpVhDAAV,2023-HVJ Constructions LLC- BB Renewal,Solution/Value
8677129-0,800Do000000xBqJIAU,Manual,Technique Heating & Cooling,7033730,2021-09-01,2023-08-31,006Do000002QXJVIA4,2023 - Technique Heating & Cooling - Renewal,Discovery
8679513-0,800Do000000xBqKIAU,Manual,DMG Electric,7033731,2021-07-01,2023-06-30,0063i00000JpVo1AAF,2023-DMG Electric- BB Renewal,Solution/Value
7974229-0,800Do000000xBroIAE,Manual,Lake Murray Environmental Services,7033825,2021-11-01,2023-10-31,006Do000002QWzKIAW,2023 - Lake Murray Environmental Services - Renewal,Discovery
7977043-0,800Do000000xBrpIAE,Manual,Fence Boss LLC,7033826,2021-05-01,2023-04-30,0063i00000JpV0PAAV,2023-Fence Boss LLC- BB Renewal,Proposal
7977204-0,800Do000000xBrqIAE,Manual,Patrium LLC,7033827,2022-06-01,2023-05-31,0063i00000JpUjXAAV,2023-Patrium LLC- BB Renewal,Solution/Value
7977387-0,800Do000000xBrrIAE,Manual,JW's Plumbing Services LLC,7033828,2022-10-01,2024-09-30,006Do000002QXLAIA4,2024 - JW's Plumbing Services LLC - Renewal,Discovery
797825-0,800Do000000xBrsIAE,Auto,"Ecological Restoration & Management, Inc.",7033829,2022-12-01,2024-11-30,006Do000002QX5WIAW,"2024 - Ecological Restoration & Management, Inc. - Renewal",Discovery
7980102-0,800Do000000xBrtIAE,Auto,Copperhead Renovations LLC,7033830,2024-01-01,2024-12-31,006Do000002QXV2IAO,2025 - Copperhead Renovations LLC - Renewal,Discovery
7982800-0,800Do000000xBruIAE,Manual,Boren Drywall,7033831,2021-02-01,2023-01-31,0063i00000JpUo2AAF,2023-Boren Drywall- BB Renewal,Verbal Acceptance
7983131-0,800Do000000xBrvIAE,Manual,Method Barricade & Construction Supply,7033832,2021-07-01,2023-06-30,0063i00000JpUrxAAF,2023-Method Barricade & Construction Supply- BB Renewal,Solution/Value
7983883-0,800Do000000xBrwIAE,Manual,Waterworks Plumbing And Heating,7033833,2022-02-01,2023-01-31,0063i00000JpUiuAAF,2023-Waterworks Plumbing And Heating- BB Renewal,Closed Lost
7985406-0,800Do000000xBrxIAE,Auto,New Generation Drywall LLC,7033834,2023-01-01,2024-12-31,006Do000002QWaiIAG,2025 - New Generation Drywall LLC - Renewal,Discovery
7985666-0,800Do000000xBryIAE,Manual,Thomas Interiors,7033835,2021-10-01,2023-09-30,006Do000002QXENIA4,2023 - Thomas Interiors - Renewal,Discovery
7985863-0,800Do000000xBrzIAE,Manual,Express Plumbing & Remodeling,7033836,2022-03-01,2023-02-28,0063i00000JpUjjAAF,2023-Express Plumbing & Remodeling- BB Renewal,Closed Won
7985888-0,800Do000000xBs0IAE,Manual,Bluegrass Construction Operations,7033837,2021-02-01,2023-01-31,0063i00000JpVgwAAF,2023-Bluegrass Construction Operations- BB Renewal,Closed Lost
7989016-0,800Do000000xBs1IAE,Manual,RC Petroleum LLC,7033838,2022-04-01,2023-03-31,0063i00000JpUaBAAV,2023-RC Petroleum LLC- BB Renewal,Closed Lost
799095-0,800Do000000xBs2IAE,Auto,North Star Foundations,7033839,2023-01-01,2024-12-31,006Do000002QXQ8IAO,2025 - North Star Foundations - Renewal,Discovery
799393-0,800Do000000xBs3IAE,Manual,Maplewood Cabinetry,7033840,2021-11-01,2023-10-31,006Do000002QXWFIA4,2023 - Maplewood Cabinetry - Renewal,Discovery
8002626-0,800Do000000xBs4IAE,Manual,Air Rite HVAC,7033841,2022-07-01,2023-06-30,0063i00000JpUSjAAN,2023-Air Rite HVAC- BB Renewal,Solution/Value
800366-0,800Do000000xBs5IAE,Manual,"Day's Excavating, Inc.",7033842,2022-03-01,2024-02-29,006Do000002QXQ3IAO,"2024 - Day's Excavating, Inc. - Renewal",Discovery
8015231-0,800Do000000xBs6IAE,Manual,YJ Cleaning & Maintenance LLC,7033843,2021-07-01,2023-06-30,0063i00000JpUziAAF,2023-YJ Cleaning & Maintenance LLC- BB Renewal,Solution/Value
801607-0,800Do000000xBs7IAE,Manual,Double T Signs Inc.,7033844,2022-02-01,2024-01-31,006Do000002QXWPIA4,2024 - Double T Signs Inc. - Renewal,Discovery
801648-1,800Do000000xBs8IAE,Manual,United Steel Fence Company,7033845,2022-03-01,2023-02-28,006Do000002QXWKIA4,2023 - United Steel Fence Company - Renewal,Closed Won
8017310-0,800Do000000xBs9IAE,Manual,"D.I.R. Construction, Inc.",7033846,2022-02-01,2023-01-31,0063i00000JpUkKAAV,"2023-D.I.R. Construction, Inc.- BB Renewal",Contract Acceptance
8017321-0,800Do000000xBsAIAU,Manual,ASAP Complete Tree Service & Landscape,7033847,2022-01-01,2023-12-31,006Do000002QXWUIA4,2024 - ASAP Complete Tree Service & Landscape - Renewal,Discovery
8018881-0,800Do000000xBsBIAU,Auto,"Best Fence - DC, LLC",7033848,2022-12-01,2024-11-30,006Do000002QX2LIAW,"2024 - Best Fence - DC, LLC - Renewal",Discovery
8019220-0,800Do000000xBsCIAU,Manual,"HERDIZ Construction, Inc.",7033849,2021-04-01,2023-03-31,0063i00000JpVHlAAN,"2023 - HERDIZ Construction, Inc. - BB Renewal",Closed Won
8019256-0,800Do000000xBsDIAU,Manual,Complete Fire Protection LLC,7033850,2021-11-01,2023-10-31,006Do000002QXL4IAO,2023 - Complete Fire Protection LLC - Renewal,Discovery
8020583-0,800Do000000xBsEIAU,Auto,Monarch Contract Builders,7033851,2023-01-01,2024-12-31,006Do000002QWeRIAW,2025 - Monarch Contract Builders - Renewal,Discovery
8021023-0,800Do000000xBsFIAU,Manual,Highland Opportunities/Private Capital,7033852,2021-07-01,2023-06-30,0063i00000JpVevAAF,2023-Highland Opportunities/Private Capital- BB Renewal,Solution/Value
