Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
228756-0,800Do000000x9PfIAI,Manual,Select Exterminating Co.,7024393,2022-08-01,2024-07-31,2024 - Select Exterminating Co. - Renewal,Discovery
228987-1,800Do000000x9PgIAI,Manual,"Boccella Precast, LLC",7024394,2022-10-01,2024-09-30,"2024 - Boccella Precast, LLC - Renewal",Discovery
230108-0,800Do000000x9PiIAI,Auto,"R.B. Construction, Inc.",7024396,2023-02-01,2025-01-31,"2025 - R.B. Construction, Inc. - Renewal",Discovery
230162-0,800Do000000x9PjIAI,Auto,Alpha Building Corporation,7024397,2023-01-01,2024-12-31,2025 - Alpha Building Corporation - Renewal,Discovery
2302064-0,800Do000000x9PlIAI,Manual,"Old Virginia Tile, Inc.",7024399,2022-10-01,2024-09-30,"2024 - Old Virginia Tile, Inc. - Renewal",Discovery
2302109-0,800Do000000x9PmIAI,Manual,"Star City Masonry, Inc.",7024400,2022-03-01,2024-02-29,"2024 - Star City Masonry, Inc. - Renewal",Discovery
230551-0,800Do000000x9PnIAI,Manual,"Central Ceiling & Partition, Inc.",7024401,2021-12-01,2023-11-30,"2023 - Central Ceiling & Partition, Inc. - Renewal",Discovery
230560-0,800Do000000x9PoIAI,Manual,Premium Contracting Services Inc.,7024402,2021-05-01,2023-04-30,2023-Premium Contracting Services Inc.- BB Renewal,Solution/Value
231567-0,800Do000000x9PqIAI,Auto,"A Ultimate Fabrication and Welding Services, Inc.",7024404,2023-01-01,2023-12-31,"2024 - A Ultimate Fabrication and Welding Services, Inc. - Renewal",Discovery
2316116-0,800Do000000x9PrIAI,Manual,Budget Cleaning USA Corp.,7024405,2022-09-01,2024-08-31,2024 - Budget Cleaning USA Corp. - Renewal,Discovery
231626-0,800Do000000x9PsIAI,Manual,"Jeff Bonham Electric, Inc.",7024406,2021-03-01,2023-02-28,"2023-Jeff Bonham Electric, Inc.- BB Renewal",Closed Won
231860-0,800Do000000x9PtIAI,Manual,"Knight Security Systems, Inc.",7024407,2022-08-01,2024-07-31,"2024 - Knight Security Systems, Inc. - Renewal",Discovery
2320516-1,800Do000000x9PwIAI,Manual,Hill Country Overhead Door,7024410,2021-12-01,2023-11-30,2023 - Hill Country Overhead Door - Renewal,Discovery
2326425-0,800Do000000x9PzIAI,Manual,Valente Electrical Contracting Corp.,7024413,2022-07-01,2024-06-30,2024 - Valente Electrical Contracting Corp. - Renewal,Discovery
2332058-0,800Do000000x9Q1IAI,Manual,"M & P Interiors, Inc.",7024415,2022-09-01,2024-08-31,"2024 - M & P Interiors, Inc. - Renewal",Discovery
233845-0,800Do000000x9Q2IAI,Manual,Aaxiom Concrete Sawing LLC,7024416,2021-09-01,2023-08-31,2023 - Aaxiom Concrete Sawing LLC - Renewal,Discovery
23581-0,800Do000000x9Q8IAI,Manual,First Fence Inc.,7024422,2022-01-01,2023-12-31,2024 - First Fence Inc. - Renewal,Discovery
2363868-0,800Do000000x9Q9IAI,Auto,Majestic Stone Imports,7024423,2023-01-01,2024-12-31,2025 - Majestic Stone Imports - Renewal,Discovery
236433-1,800Do000000x9QAIAY,Manual,G/A Shot Blasting,7024424,2021-04-01,2023-03-31,2023-G/A Shot Blasting - BB Renewal,Solution/Value
236525-0,800Do000000x9QBIAY,Manual,"Lemberg Electric Co., Inc.",7024425,2021-07-01,2023-06-30,"2023-Lemberg Electric Co., Inc.- BB Renewal",Solution/Value
236622-0,800Do000000x9QCIAY,Manual,Structurewerks,7024426,2022-09-01,2024-08-31,2024 - Structurewerks - Renewal,Discovery
2367667-0,800Do000000x9QEIAY,Manual,"New England Window Systems, Inc.",7024428,2022-06-01,2023-05-31,"2023-New England Window Systems, Inc.- BB Renewal",Solution/Value
23702-0,800Do000000x9QFIAY,Manual,Precision Overhead Door,7024429,2022-04-01,2023-03-31,2023-Precision Overhead Door- BB Renewal,Solution/Value
2370730-0,800Do000000x9QGIAY,Manual,Anahita Ultimate Finishing Co.,7024430,2022-09-01,2024-08-31,2024 - Anahita Ultimate Finishing Co. - Renewal,Discovery
2376284-0,800Do000000x9QHIAY,Manual,"Bear Electric, Inc.",7024431,2021-04-01,2023-03-31,"2023-Bear Electric, Inc.- BB Renewal",Closed Lost
2376912-0,800Do000000x9QIIAY,Manual,Right Hand Electric LLC,7024432,2022-10-01,2024-09-30,2024 - Right Hand Electric LLC - Renewal,Discovery
237809-0,800Do000000x9QJIAY,Manual,Clinton Awning,7024433,2022-09-01,2024-08-31,2024 - Clinton Awning - Renewal,Discovery
238119-0,800Do000000x9QLIAY,Manual,"Exquisite Glass, Inc.",7024435,2021-06-01,2023-05-31,"2023-Exquisite Glass, Inc.- BB Renewal",Solution/Value
238670-0,800Do000000x9QPIAY,Manual,"G.B. Foltz Contracting, Inc.",7024439,2021-08-01,2023-07-31,"2023 - G.B. Foltz Contracting, Inc. - Renewal",Discovery
2402129-1,800Do000000x9QSIAY,Manual,Heritage Fence Company (High Security/Temp Fence Rental),7024442,2022-08-01,2024-07-31,2024 - Heritage Fence Company (High Security/Temp Fence Rental) - Renewal,Discovery
240381-0,800Do000000x9QUIAY,Auto,"Colbert, Matz, Rosenfelt, LLC.",7024444,2023-01-01,2023-12-31,"2024 - Colbert, Matz, Rosenfelt, LLC. - Renewal",Discovery
240542-0,800Do000000x9QVIAY,Manual,Arthur Cole Painting Corporation,7024445,2022-10-01,2024-09-30,2024 - Arthur Cole Painting Corporation - Renewal,Discovery
242827-0,800Do000000x9QYIAY,Manual,Schoch Tile & Carpet,7024448,2022-07-01,2023-06-30,2023-Schoch Tile & Carpet- BB Renewal,Solution/Value
243083-0,800Do000000x9QaIAI,Manual,Lone Star Awning,7024450,2022-03-01,2024-02-29,2024 - Lone Star Awning - Renewal,Discovery
243164-0,800Do000000x9QbIAI,Manual,Colonial Insulation & Fireproofing,7024451,2021-10-01,2023-09-30,2023 - Colonial Insulation & Fireproofing - Renewal,Discovery
2432574-0,800Do000000x9QcIAI,Manual,A Capital Electric Inc.,7024452,2021-09-01,2023-08-31,2023 - A Capital Electric Inc. - Renewal,Discovery
2433458-0,800Do000000x9QdIAI,Manual,Chase & Son Building and Remodeling Specialists,7024453,2022-03-01,2024-02-29,2024 - Chase & Son Building and Remodeling Specialists - Renewal,Discovery
2436905-0,800Do000000x9QeIAI,Manual,PEI Maintenance & Contracting,7024454,2021-09-01,2023-08-31,2023 - PEI Maintenance & Contracting - Renewal,Discovery
243856-0,800Do000000x9QfIAI,Auto,"Amber Mechanical Contractors, Inc.",7024455,2023-01-01,2024-12-31,"2025 - Amber Mechanical Contractors, Inc. - Renewal",Discovery
358902-0,800Do000000x9S0IAI,Manual,Vazgen Plumbing Co.,7024562,2021-04-01,2023-03-31,2023-Vazgen Plumbing Co.- BB Renewal,Solution/Value
360292-1,800Do000000x9S1IAI,Manual,Eagle Contractor Inc.,7024563,2022-10-01,2024-09-30,2024 - Eagle Contractor Inc. - Renewal,Discovery
360753-0,800Do000000x9SRIAY,Manual,"Decktight Roofing Services, Inc.",7024564,2021-10-01,2023-09-30,"2023 - Decktight Roofing Services, Inc. - Renewal",Discovery
361084-0,800Do000000x9SSIAY,Manual,Universal Painting & Coating,7024565,2021-04-01,2023-03-31,2023-Universal Painting & Coating- BB Renewal,Closed Won
361882-0,800Do000000x9SUIAY,Auto,First American Maintenance Co.,7024567,2023-01-01,2024-12-31,2025 - First American Maintenance Co. - Renewal,Discovery
363014-0,800Do000000x9SVIAY,Auto,A Beautiful Ceiling,7024568,2022-12-01,2023-11-30,2023 - A Beautiful Ceiling - Renewal,Discovery
3652389-0,800Do000000x9SYIAY,Manual,Century Laundry Distributing,7024571,2021-06-01,2023-05-31,2023 - Century Laundry Distributing - Renewal,Discovery
365286-3,800Do000000x9SZIAY,Manual,Atlas Roll-Off Corp.,7024572,2022-09-01,2024-08-31,2024 - Atlas Roll-Off Corp. - Renewal,Discovery
368042-0,800Do000000x9SfIAI,Manual,Amelia Overhead Doors,7024578,2022-10-01,2023-09-30,2023 - Amelia Overhead Doors - Renewal,Discovery
368944-0,800Do000000x9SiIAI,Auto,"Hawkeye Exteriors, Inc.",7024581,2022-11-01,2024-10-31,"2024 - Hawkeye Exteriors, Inc. - Renewal",Discovery
372240-0,800Do000000x9SlIAI,Manual,AAA Fire Protection Services,7024584,2022-03-01,2024-02-29,2024 - AAA Fire Protection Services - Renewal,Discovery
3736821-0,800Do000000x9SpIAI,Manual,Mountain Alarm,7024588,2022-09-01,2023-08-31,2023 - Mountain Alarm - Renewal,Discovery
374230-0,800Do000000x9SrIAI,Manual,"Guardian Fence Co., Inc.",7024590,2021-03-01,2023-02-28,,
374238-0,800Do000000x9SsIAI,Auto,Guardian Power Cleaning,7024591,2023-01-01,2023-12-31,2024 - Guardian Power Cleaning - Renewal,Discovery
3754800-0,800Do000000x9StIAI,Manual,"Pasadena Drywall Interior, Inc.",7024592,2021-05-01,2023-04-30,"2023-Pasadena Drywall Interior, Inc.- BB Renewal",Solution/Value
376231-0,800Do000000x9SuIAI,Manual,"NEW YORK GYPSUM FLOORS, INC",7024593,2022-06-01,2023-05-31,"2023 - NEW YORK GYPSUM FLOORS, INC - Renewal",Discovery
37675-0,800Do000000x9SvIAI,Manual,Liquid Floors Inc.,7024594,2022-01-01,2023-12-31,2024 - Liquid Floors Inc. - Renewal,Discovery
377403-0,800Do000000x9SxIAI,Manual,Choice Communication Corp.,7024596,2021-06-01,2023-05-31,2023-Choice Communication Corp.- BB Renewal,Solution/Value
380249-0,800Do000000x9T1IAI,Manual,Bratton Steel LP,7024600,2022-10-01,2024-09-30,2024 - Bratton Steel LP - Renewal,Discovery
380324-0,800Do000000x9T3IAI,Manual,"Bazan Roofing, Inc.",7024602,2022-09-01,2024-08-31,"2024 - Bazan Roofing, Inc. - Renewal",Discovery
381248-0,800Do000000x9T6IAI,Auto,"CJ Asphalt Paving, Inc.",7024605,2022-11-01,2024-10-31,"2024 - CJ Asphalt Paving, Inc. - Renewal",Discovery
383519-1,800Do000000x9T8IAI,Manual,"Corzo Contracting Co., Inc.",7024607,2021-04-01,2023-03-31,"2023 - Corzo Contracting Co., Inc. - Renewal",Discovery
383748-0,800Do000000x9T9IAI,Auto,"Cates, Courtney & Roebuck",7024608,2023-01-01,2023-12-31,"2024 - Cates, Courtney & Roebuck - Renewal",Discovery
384673-0,800Do000000x9TCIAY,Manual,"Break Thru Enterprises, Inc.",7024611,2022-02-01,2024-01-31,"2024 - Break Thru Enterprises, Inc. - Renewal",Discovery
385817-1,800Do000000x9TEIAY,Manual,Outdoor Escapes of New England,7024613,2022-04-01,2024-03-31,2024 - Outdoor Escapes of New England - Renewal,Discovery
386812-0,800Do000000x9TGIAY,Manual,"An Excelsior Elevator, Corp.",7024615,2022-10-01,2024-09-30,"2024 - An Excelsior Elevator, Corp. - Renewal",Discovery
387144-0,800Do000000x9THIAY,Manual,"Dowager Utility Construction, Ltd.",7024616,2021-05-01,2023-04-30,"2023-Dowager Utility Construction, Ltd.- BB Renewal",Solution/Value
387256-0,800Do000000x9TIIAY,Manual,Hathazi Garage Doors LLC,7024617,2022-09-01,2024-08-31,2024 - Hathazi Garage Doors LLC - Renewal,Discovery
388021-0,800Do000000x9TJIAY,Manual,Keane Construction,7024618,2021-07-01,2023-06-30,2023-Keane Construction- BB Renewal,Solution/Value
388293-0,800Do000000x9TKIAY,Manual,RDS Environmental,7024619,2021-06-01,2023-05-31,2023-RDS Environmental- BB Renewal,Solution/Value
388300-0,800Do000000x9TLIAY,Manual,"F.W. Haxel Flag, Banner, Flagpole & Sign Co.",7024620,2022-02-01,2024-01-31,"2024 - F.W. Haxel Flag, Banner, Flagpole & Sign Co. - Renewal",Discovery
39020-0,800Do000000x9TPIAY,Manual,Crown Recycling Facility,7024624,2022-01-01,2023-12-31,2024 - Crown Recycling Facility - Renewal,Discovery
391156-0,800Do000000x9TQIAY,Manual,"Industrial Flooring Services, Inc.",7024625,2021-06-01,2023-05-31,"2023-Industrial Flooring Services, Inc.- BB Renewal",Solution/Value
391161-1,800Do000000x9TRIAY,Manual,MASA Products Company,7024626,2021-11-01,2023-10-31,2023 - MASA Products Company - Renewal,Discovery
391325-0,800Do000000x9TSIAY,Manual,Champagne Drywall Inc.,7024627,2022-02-01,2024-01-31,2024 - Champagne Drywall Inc. - Renewal,Discovery
3913375-0,800Do000000x9TTIAY,Manual,"GemStone Epoxy Coatings, LLC",7024628,2022-06-01,2024-05-31,"2024 - GemStone Epoxy Coatings, LLC - Renewal",Discovery
391602-0,800Do000000x9TUIAY,Manual,R. Baker & Son All Industrial Services Inc.,7024629,2021-11-01,2023-10-31,2023 - R. Baker & Son All Industrial Services Inc. - Renewal,Discovery
392323-0,800Do000000x9TWIAY,Auto,Metroplex Sheet Metal,7024631,2022-11-01,2024-10-31,2024 - Metroplex Sheet Metal - Renewal,Discovery
392544-0,800Do000000x9TXIAY,Manual,Sunrise Glass Inc.,7024632,2021-03-01,2023-02-28,2023-Sunrise Glass Inc.- BB Renewal,Closed Won
392759-0,800Do000000x9TYIAY,Manual,Doo-Rite Painting & Decorating,7024633,2021-05-01,2023-04-30,2023-Doo-Rite Painting & Decorating- BB Renewal,Solution/Value
392806-0,800Do000000x9TZIAY,Manual,Reynolds Asphalt & Construction Co.,7024634,2022-01-01,2023-12-31,2024 - Reynolds Asphalt & Construction Co. - Renewal,Discovery
393325-0,800Do000000x9TaIAI,Manual,"A Plus Striping, Inc.",7024635,2021-09-01,2023-08-31,"2023 - A Plus Striping, Inc. - Renewal",Discovery
393540-0,800Do000000x9TbIAI,Manual,"Heritage Product Resources, Inc.",7024636,2022-03-01,2024-02-29,"2024 - Heritage Product Resources, Inc. - Renewal",Discovery
393738-0,800Do000000x9TcIAI,Auto,"In-Line Sheet Metal, Inc.",7024637,2023-01-01,2023-12-31,"2024 - In-Line Sheet Metal, Inc. - Renewal",Discovery
395110-3,800Do000000x9TdIAI,Auto,Hi-Lume Corp.,7024638,2023-01-01,2024-12-31,2025 - Hi-Lume Corp. - Renewal,Discovery
395123-0,800Do000000x9TeIAI,Manual,"A-CO Temporary Power, Inc.",7024639,2021-09-01,2023-08-31,"2023 - A-CO Temporary Power, Inc. - Renewal",Discovery
398748-0,800Do000000x9TgIAI,Manual,Frame Masters,7024641,2021-08-01,2023-07-31,2023 - Frame Masters - Renewal,Discovery
400109-0,800Do000000x9TiIAI,Manual,"Payne's Parking Designs, Inc.",7024643,2021-03-01,2023-02-28,,
400871-0,800Do000000x9TmIAI,Manual,DHC Construction Services Inc.,7024647,2022-01-01,2023-12-31,2024 - DHC Construction Services Inc. - Renewal,Discovery
401712-0,800Do000000x9TpIAI,Manual,Pacific Lamp Wholesale,7024650,2021-11-01,2023-10-31,2023 - Pacific Lamp Wholesale - Renewal,Discovery
402228-0,800Do000000x9TqIAI,Manual,Main Stream Fire Protection,7024651,2021-09-01,2023-08-31,2023 - Main Stream Fire Protection - Renewal,Discovery
404375-0,800Do000000x9TsIAI,Manual,NASHVILLE MACHINE COMPANY,7024653,2022-03-01,2023-02-28,2023 - Nashville Machine Company - Dodge-BB Renewal,Closed Won
405772-0,800Do000000x9TvIAI,Manual,Venus Construction Co.,7024656,2022-09-01,2024-08-31,2024 - Venus Construction Co. - Renewal,Discovery
407167-0,800Do000000x9TzIAI,Manual,"Martineau Electric, Inc.",7024660,2022-01-01,2023-12-31,"2024 - Martineau Electric, Inc. - Renewal",Discovery
407517-0,800Do000000x9U0IAI,Manual,"P & P Plumbing Co., Inc.",7024661,2022-01-01,2023-12-31,"2024 - P & P Plumbing Co., Inc. - Renewal",Discovery
408420-0,800Do000000x9U1IAI,Manual,Hutchinson Cabinets,7024662,2021-08-01,2023-07-31,2023 - Hutchinson Cabinets - Renewal,Discovery
408866-1,800Do000000x9U3IAI,Auto,JF Petroleum Group,7024664,2023-01-01,2023-12-31,2024 - JF Petroleum Group - Renewal,Discovery
4091117-0,800Do000000x9U4IAI,Manual,Southwest Tile Co.,7024665,2021-08-01,2023-07-31,2023 - Southwest Tile Co. - Renewal,Discovery
409540-0,800Do000000x9U5IAI,Auto,Weld-Done Welding Co. Inc.,7024666,2023-01-01,2023-12-31,2024 - Weld-Done Welding Co. Inc. - Renewal,Discovery
41176-0,800Do000000x9U8IAI,Manual,Bridge Electrical Construction Corp.,7024669,2021-09-01,2023-08-31,2023 - Bridge Electrical Construction Corp. - Renewal,Discovery
412916-0,800Do000000x9UAIAY,Manual,"Men of Steel, Inc.",7024671,2021-10-01,2023-09-30,"2023 - Men of Steel, Inc. - Renewal",Discovery
4132461-0,800Do000000x9UBIAY,Auto,"All American Fire, Inc.",7024672,2022-12-01,2023-11-30,"2023 - All American Fire, Inc. - Renewal",Discovery
4138896-0,800Do000000x9UCIAY,Manual,The Plumbers,7024673,2022-07-01,2023-06-30,2023-Miami Plumbing Services- BB Renewal,Solution/Value
4141490-0,800Do000000x9UDIAY,Manual,Accomplished J Plumbing,7024674,2021-05-01,2023-04-30,2023-Accomplished J Plumbing                                 - BB Renewal,Solution/Value
414274-0,800Do000000x9UEIAY,Manual,"EnerTech Associates, Inc.",7024675,2021-07-01,2023-06-30,"2023-EnerTech Associates, Inc.- BB Renewal",Solution/Value
414565-0,800Do000000x9UFIAY,Manual,Canopy Erectors Inc.,7024676,2022-09-01,2024-08-31,2024 - Canopy Erectors Inc. - Renewal,Discovery
415006-0,800Do000000x9UHIAY,Manual,Integrity Plumbing,7024678,2022-09-01,2024-08-31,2024 - Integrity Plumbing - Renewal,Discovery
416027-0,800Do000000x9UIIAY,Manual,"Afrand Construction Co., Inc.",7024679,2021-09-01,2023-08-31,"2023 - Afrand Construction Co., Inc. - Renewal",Discovery
416476-0,800Do000000x9ULIAY,Manual,"Con-Tech Construction Technology, Inc.",7024682,2021-12-01,2023-11-30,"2023 - Con-Tech Construction Technology, Inc. - Renewal",Discovery
416675-0,800Do000000x9UMIAY,Auto,Concrete Construction Corp.,7024683,2022-12-01,2023-11-30,2023 - Concrete Construction Corp. - Renewal,Discovery
4167755-0,800Do000000x9UOIAY,Manual,"ABBA Concrete, Inc.",7024685,2022-08-01,2024-07-31,"2024 - ABBA Concrete, Inc. - Renewal",Discovery
4168206-0,800Do000000x9UPIAY,Manual,"Tri-Star Roofing & Sheet Metal, LLC",7024686,2021-10-01,2023-09-30,"2023 - Tri-Star Roofing & Sheet Metal, LLC - Renewal",Discovery
417482-0,800Do000000x9USIAY,Manual,IWM 3,7024689,2021-10-01,2023-09-30,2023 - IWM 3 - Renewal,Discovery
4175679-0,800Do000000x9UTIAY,Manual,Houston Roofing & Construction,7024690,2021-09-01,2023-08-31,2023 - Houston Roofing & Construction - Renewal,Discovery
4176114-0,800Do000000x9UUIAY,Manual,E.C.B. Door Supply,7024691,2021-11-01,2023-10-31,2023 - E.C.B. Door Supply - Renewal,Discovery
4176258-0,800Do000000x9UVIAY,Manual,Metis Construction Services,7024692,2021-07-01,2023-06-30,2023-Metis Construction Services- BB Renewal,Solution/Value
4178055-0,800Do000000x9UWIAY,Manual,"Beckco, Inc.",7024693,2021-11-01,2023-10-31,"2023 - Beckco, Inc. - Renewal",Discovery
4178556-0,800Do000000x9UXIAY,Manual,Deschutes Construction Corp.,7024694,2021-04-01,2023-03-31,2023-Deschutes Construction Corp.- BB Renewal,Proposal
418449-0,800Do000000x9UaIAI,Manual,"New England Yankee Construction, LLC",7024697,2021-02-01,2023-01-31,"2023-New England Yankee Construction, LLC- BB Renewal",Closed Won
418727-0,800Do000000x9UbIAI,Manual,Commonwealth Elevator LLC,7024698,2022-03-01,2023-02-28,2023-Commonwealth Elevator LLC- BB Renewal,Closed Lost
418755-0,800Do000000x9UcIAI,Manual,Island Pump & Tank Corp.,7024699,2022-09-01,2024-08-31,2024 - Island Pump & Tank Corp. - Renewal,Discovery
419036-0,800Do000000x9UfIAI,Manual,Monterey Structural Steel Inc.,7024702,2021-05-01,2023-04-30,2023-Monterey Structural Steel Inc.- BB Renewal,Solution/Value
4193183-0,800Do000000x9UhIAI,Manual,Cruise Mechanical Co.,7024704,2022-08-01,2023-07-31,2023 - Cruise Mechanical Co. - Renewal,Discovery
4215897-0,800Do000000x9UoIAI,Manual,"Magnetar.us, Inc.",7024711,2021-10-01,2023-09-30,"2023 - Magnetar.us, Inc. - Renewal",Discovery
421592-0,800Do000000x9UpIAI,Manual,Bergen Concrete Masonry,7024712,2021-10-01,2023-09-30,2023 - Bergen Concrete Masonry - Renewal,Discovery
421971-0,800Do000000x9UrIAI,Manual,"David Hall Masonry, Inc.",7024714,2022-01-01,2023-12-31,"2024 - David Hall Masonry, Inc. - Renewal",Discovery
4220626-0,800Do000000x9UsIAI,Manual,J & L Glass Co.,7024715,2021-09-01,2023-08-31,2023 - J & L Glass Co. - Renewal,Discovery
4225498-0,800Do000000x9UtIAI,Manual,TCB Demolition Inc.,7024716,2021-09-01,2023-08-31,2023 - TCB Demolition Inc. - Renewal,Discovery
4227582-0,800Do000000x9UuIAI,Manual,"S.D. Plastering Co., Inc.",7024717,2021-03-01,2023-02-28,"2023-S.D. Plastering Co., Inc.- BB Renewal",Closed Won
4231490-0,800Do000000x9UvIAI,Manual,ABG Plumbing & Rooter,7024718,2022-07-01,2024-06-30,2024 - ABG Plumbing & Rooter - Renewal,Discovery
4232693-0,800Do000000x9UwIAI,Auto,"TNT Fire Protection, Inc.",7024719,2023-01-01,2023-12-31,"2024 - TNT Fire Protection, Inc. - Renewal",Discovery
4233386-1,800Do000000x9UyIAI,Manual,CKJ Group,7024721,2021-02-01,2023-01-31,2023 - CKJ Group - Renewal,Discovery
423448-1,800Do000000x9UzIAI,Manual,ISI Demolition,7024722,2021-12-01,2023-11-30,2023 - ISI Demolition - Renewal,Discovery
4235449-0,800Do000000x9V0IAI,Auto,"M L S Builder, Inc.",7024723,2023-01-01,2024-12-31,"2025 - M L S Builder, Inc. - Renewal",Discovery
4236293-0,800Do000000x9V1IAI,Manual,Indoor Quality Services,7024724,2021-05-01,2023-04-30,2023-Indoor Quality Services- BB Renewal,Proposal
425568-1,800Do000000x9V4IAI,Manual,Porcello Engineering & Architecture,7024727,2021-10-01,2023-09-30,2023 - Porcello Engineering & Architecture - Renewal,Discovery
4258585-0,800Do000000x9V6IAI,Manual,Dreamstone Granite & Marble,7024729,2021-11-01,2023-10-31,2023 - Dreamstone Granite & Marble - Renewal,Discovery
4260839-0,800Do000000x9V9IAI,Manual,Strategic Glass LLC,7024732,2022-03-01,2024-02-29,2024 - Strategic Glass LLC - Renewal,Discovery
4265701-0,800Do000000x9VBIAY,Manual,ECLS Global Inc.,7024734,2022-10-01,2024-09-30,2024 - ECLS Global Inc. - Renewal,Discovery
427129-0,800Do000000x9VEIAY,Manual,Madison Sheet Metal LLC,7024737,2021-09-01,2023-08-31,2023 - Madison Sheet Metal LLC - Renewal,Discovery
244370-1,800Do000000x9YZIAY,Manual,Commercial Draperies Unlimited,7024975,2021-04-01,2023-03-31,2023 - Commercial Draperies Unlimited - Renewal,Discovery
244478-0,800Do000000x9Z5IAI,Manual,"Advanced Epoxy Flooring Systems, Inc.",7024977,2021-08-01,2023-07-31,"2023 - Advanced Epoxy Flooring Systems, Inc. - Renewal",Discovery
24460-0,800Do000000x9Z6IAI,Manual,Straight Up Fence Inc.,7024978,2021-07-01,2023-06-30,2023-Straight Up Fence Inc.- BB Renewal,Solution/Value
2451825-0,800Do000000x9Z9IAI,Manual,Mr. Concrete Corp.,7024981,2022-02-01,2024-01-31,2024 - Mr. Concrete Corp. - Renewal,Discovery
2459168-0,800Do000000x9ZCIAY,Manual,Glass Masters 2000 LLC,7024984,2021-07-01,2023-06-30,2023-Glass Masters 2000 LLC- BB Renewal,Solution/Value
2459380-0,800Do000000x9ZDIAY,Manual,INLINE PAINTING LLC,7024985,2021-04-01,2023-03-31,,
246160-0,800Do000000x9ZEIAY,Manual,A.L. Cirineo Co. Inc.,7024986,2021-04-01,2023-03-31,2023-A.L. Cirineo Co. Inc.- BB Renewal,Solution/Value
246369-1,800Do000000x9ZFIAY,Auto,"Senate Masonry, Inc.",7024987,2022-12-01,2024-11-30,"2024 - Senate Masonry, Inc. - Renewal",Discovery
246701-0,800Do000000x9ZGIAY,Manual,"Derek, Inc.",7024988,2021-12-01,2023-11-30,"2023 - Derek, Inc. - Renewal",Discovery
248379-1,800Do000000x9ZJIAY,Manual,Expressive Lighting Inc.,7024991,2021-07-01,2023-06-30,2023-Expressive Lighting Inc.- BB Renewal,Solution/Value
2484843-0,800Do000000x9ZKIAY,Auto,McBride-Owens Inc.,7024992,2023-01-01,2024-12-31,2025 - McBride-Owens Inc. - Renewal,Discovery
24869-0,800Do000000x9ZLIAY,Manual,Simard Painting LLC,7024993,2022-01-01,2023-12-31,2024 - Simard Painting LLC - Renewal,Discovery
2490379-0,800Do000000x9ZMIAY,Manual,RIVER TOWN CONSTRUCTION,7024994,2022-09-01,2023-08-31,2023 - RIVER TOWN CONSTRUCTION - Renewal,Discovery
249899-0,800Do000000x9ZOIAY,Manual,"Gentz Electric, Inc.",7024996,2021-10-01,2023-09-30,"2023 - Gentz Electric, Inc. - Renewal",Discovery
250536-0,800Do000000x9ZPIAY,Manual,"Rafferty Fine Grading, Inc.",7024997,2021-03-01,2023-02-28,"2023-Rafferty Fine Grading, Inc.- BB Renewal",Closed Won
251922-1,800Do000000x9ZRIAY,Manual,"Contemporary Wall Systems, Inc.",7024999,2022-09-01,2024-08-31,"2024 - Contemporary Wall Systems, Inc. - Renewal",Discovery
2520408-0,800Do000000x9ZSIAY,Manual,"Lorie Galloway Companies, Inc.",7025000,2022-04-01,2024-03-31,"2024 - Lorie Galloway Companies, Inc. - Renewal",Discovery
2523109-0,800Do000000x9ZUIAY,Manual,"Western Mechanical Contractors, Inc.",7025002,2022-01-01,2023-12-31,"2024 - Western Mechanical Contractors, Inc. - Renewal",Discovery
2524898-0,800Do000000x9ZVIAY,Manual,"Mehrwerth Concrete & Masonry, Inc.",7025003,2022-09-01,2024-08-31,"2024 - Mehrwerth Concrete & Masonry, Inc. - Renewal",Discovery
252518-0,800Do000000x9ZWIAY,Manual,P.J. Fazio Plumbing & Heating,7025004,2022-06-01,2024-05-31,2024 - P.J. Fazio Plumbing & Heating - Renewal,Discovery
2526471-0,800Do000000x9ZXIAY,Manual,"R.F. Design Integration, Inc.",7025005,2022-03-01,2023-02-28,"2023-R.F. Design Integration, Inc.- BB Renewal",Closed Lost
2529159-0,800Do000000x9ZYIAY,Manual,"HD Plus Construction, Inc.",7025006,2022-08-01,2024-07-31,"2024 - HD Plus Construction, Inc. - Renewal",Discovery
253730-0,800Do000000x9ZZIAY,Manual,Cook Drilling Corporation,7025007,2022-09-01,2023-08-31,2023 - Cook Drilling Corporation - Renewal,Discovery
253732-1,800Do000000x9ZaIAI,Manual,SMS Services Inc.,7025008,2021-02-01,2023-01-31,2023 - SMS Services Inc. - BB Renewal,Closed Won
256003-0,800Do000000x9ZbIAI,Manual,"York Fence Construction Co., Inc.",7025009,2022-01-01,2023-12-31,"2024 - York Fence Construction Co., Inc. - Renewal",Discovery
256139-0,800Do000000x9ZcIAI,Manual,Ferry Carpets Inc.,7025010,2021-04-01,2023-03-31,2023 - Ferry Carpets Inc. - Renewal,Discovery
256627-0,800Do000000x9ZdIAI,Manual,ModernCrete Concrete Design,7025011,2021-04-01,2023-03-31,2023-ModernCrete Concrete Design- BB Renewal,Proposal
256755-0,800Do000000x9ZeIAI,Manual,AJS Construction Inc.,7025012,2022-03-01,2024-02-29,2024 - AJS Construction Inc. - Renewal,Discovery
